Season,Hour_of_week,Pre_COVID,COVID,Difference
Winter,13,5708.005909090908,5323.001428571429,-385.00448051947933
Winter,14,5744.481060606064,5310.4195238095235,-434.06153679654017
Winter,15,5751.347424242427,5387.363809523808,-363.9836147186188
Winter,16,5865.293030303029,5652.775238095238,-212.517792207791
Winter,17,6233.261969696968,6184.753809523811,-48.508160173157194
Winter,18,6779.616060606061,6885.2471428571425,105.63108225108135
Winter,19,6767.534242424245,6845.870952380953,78.33670995670764
Winter,20,6467.794242424242,6510.834761904762,43.04051948051983
Winter,21,6131.359393939391,6141.320952380954,9.961558441562374
Winter,22,5675.7342424242415,5714.504285714286,38.77004329004467
Winter,23,5241.2989393939415,5211.312857142858,-29.986082251083644
Winter,24,5397.851538461538,5240.653500000001,-157.19803846153718
Winter,25,4985.2403076923065,4892.279,-92.96130769230604
Winter,26,4622.734461538461,4558.041,-64.69346153846072
Winter,27,4353.569846153846,4301.3325,-52.237346153845465
Winter,28,4245.639538461538,4203.439,-42.20053846153769
Winter,29,4323.636615384616,4293.758,-29.87861538461584
Winter,30,4775.3066153846175,4715.206500000001,-60.1001153846164
Winter,31,5773.642153846154,5579.648999999999,-193.9931538461542
Winter,32,6423.048307692307,6288.930999999999,-134.1173076923087
Winter,33,6472.869538461538,6576.119500000001,103.24996153846314
Winter,34,6284.413230769231,6303.7835,19.370269230768827
Winter,35,6024.8184615384625,5919.137000000001,-105.68146153846192
Winter,36,5866.934923076921,5670.6965,-196.2384230769212
Winter,37,5778.911384615385,5581.249500000001,-197.66188461538422
Winter,38,5818.56523076923,5576.9,-241.66523076923022
Winter,39,5814.769384615385,5620.1535,-194.61588461538486
Winter,40,5931.523692307692,5854.26,-77.2636923076916
Winter,41,6284.822461538461,6374.9095,90.08703846153912
Winter,42,6835.442000000001,7001.044499999999,165.60249999999814
Winter,43,6820.876769230769,6894.635499999999,73.75873076923017
Winter,44,6529.0380000000005,6539.200000000001,10.162000000000262
Winter,45,6188.053846153845,6129.557499999998,-58.4963461538473
Winter,46,5740.467384615384,5696.982500000001,-43.484884615382725
Winter,47,5300.531999999999,5221.3875,-79.14449999999943
Winter,48,5447.422575757576,5270.6765,-176.74607575757636
Winter,49,5024.258333333332,4907.844999999999,-116.41333333333296
Winter,50,4662.520000000002,4576.9605,-85.55950000000212
Winter,51,4384.8772727272735,4306.2919999999995,-78.58527272727406
Winter,52,4283.963939393941,4212.634,-71.32993939394055
Winter,53,4361.400151515153,4265.072,-96.32815151515297
Winter,54,4802.227121212119,4666.818499999999,-135.40862121211921
Winter,55,5791.272272727273,5521.983,-269.2892727272729
Winter,56,6437.494242424242,6224.901,-212.5932424242419
Winter,57,6480.636969696971,6480.083999999999,-0.5529696969724682
Winter,58,6287.055303030304,6207.9655,-79.0898030303033
Winter,59,6026.924696969696,5825.8375,-201.08719696969638
Winter,60,5856.403181818183,5583.1585,-273.2446818181834
Winter,61,5750.553787878787,5446.273999999999,-304.27978787878783
Winter,62,5792.636666666666,5424.9355,-367.7011666666667
Winter,63,5785.171969696968,5462.377,-322.7949696969672
